,segment_id_beg,segment_id_end,longitude,latitude,h_te_best_fit,h_te_uncertainty,h_canopy,h_canopy_uncertainty,track_id,beam,file_name
188,1899226,1899230,48.81922149658203,-19.44939422607422,8.255962,0.25072515,15.873601,0.6639632,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
189,1899231,1899235,48.81912612915039,-19.448495864868164,0.03300776,0.051820423,24.55332,0.19874935,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
192,1899246,1899250,48.81884002685547,-19.4457950592041,21.129776,0.72692645,14.803434,0.66120034,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
193,1899251,1899255,48.81874465942383,-19.44489479064941,27.558544,0.2631494,10.748999,0.43433982,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
194,1899256,1899260,48.81864547729492,-19.44399642944336,32.405994,0.8778196,11.583248,0.7639852,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
195,1899261,1899265,48.81855010986328,-19.443096160888672,32.851078,1.8196341,6.3240414,2.3132894,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
196,1899266,1899270,48.818458557128906,-19.442195892333984,28.490623,3.6969092,8.687832,1.771665,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
197,1899271,1899275,48.818359375,-19.44129753112793,22.602444,0.9257164,8.156347,0.7391422,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
198,1899276,1899280,48.818267822265625,-19.44039726257324,8.128717,0.007046323,4.964636,0.022015018,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
199,1899281,1899285,48.81817626953125,-19.439496994018555,3.9110315,0.0030755543,10.165468,0.009245455,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
201,1899291,1899295,48.81797409057617,-19.43769836425781,29.03329,0.82261634,8.913233,0.71042156,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
202,1899296,1899300,48.81787872314453,-19.436798095703125,27.808004,0.84549654,9.551018,1.1477457,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
203,1899301,1899305,48.81778717041016,-19.43589782714844,31.543373,1.5944126,11.27265,0.88012445,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
204,1899306,1899310,48.81768798828125,-19.434999465942383,33.234478,1.2400271,13.369053,1.5586311,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
205,1899311,1899315,48.81759262084961,-19.43409919738769,37.790974,1.4510022,15.9905815,1.3674986,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
207,1899321,1899325,48.8174057006836,-19.43229866027832,47.615856,0.5837945,5.916069,0.87857306,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
208,1899326,1899330,48.81730651855469,-19.431400299072266,50.043396,1.0951644,6.448948,0.87304324,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
209,1899331,1899335,48.81721496582031,-19.430500030517575,35.81267,1.0660622,11.776882,0.7111349,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
210,1899336,1899340,48.81711959838867,-19.42959976196289,21.676863,0.416045,10.262646,0.6501736,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
211,1899341,1899345,48.81702423095703,-19.428699493408203,21.166204,0.3972799,8.40836,0.5361623,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
212,1899346,1899350,48.81692886352539,-19.42779922485352,20.429184,0.79563147,10.610249,0.9947698,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
213,1899351,1899355,48.81683349609375,-19.42690086364746,11.583824,0.011858928,10.718271,0.022732517,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
214,1899356,1899360,48.816741943359375,-19.426000595092773,17.455942,0.55089676,10.060194,0.49678236,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
215,1899361,1899365,48.81664657592773,-19.42510032653809,13.3543625,0.19425201,15.556467,0.36753142,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
216,1899366,1899370,48.81655502319336,-19.4242000579834,24.088003,0.42478475,8.865627,0.6065438,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
217,1899371,1899375,48.81645965576172,-19.42329978942871,7.9114494,0.03792063,21.67531,0.12541312,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
218,1899376,1899380,48.81636047363281,-19.422401428222656,5.800382,0.5732647,20.89903,0.6465207,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
219,1899381,1899385,48.81626510620117,-19.42150115966797,4.9242554,0.014606061,19.49675,0.09179222,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
220,1899386,1899390,48.8161735534668,-19.42060089111328,11.679001,0.9877405,20.01553,0.7871928,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
221,1899391,1899395,48.81607818603516,-19.419700622558597,10.311133,0.8948694,20.73949,0.40826508,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
223,1899401,1899405,48.81589126586914,-19.41790199279785,7.180686,0.013599273,18.808432,0.040073942,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
224,1899406,1899410,48.8157958984375,-19.417001724243164,5.8678246,0.015227891,21.975435,0.0857325,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
227,1899421,1899425,48.81551742553711,-19.4143009185791,17.545929,0.7714119,6.1530313,1.0361845,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
228,1899426,1899430,48.81542205810547,-19.41340065002441,14.993568,0.12005957,16.322308,0.20904231,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
230,1899436,1899440,48.81523132324219,-19.411602020263672,18.447134,0.5324989,7.6586456,0.5121129,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
231,1899441,1899445,48.81513977050781,-19.410701751708984,25.415527,1.4867861,7.0187893,0.36519992,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
